cluster	loc.d	loc.o	span	span2	intro_date	intro_date2	rep_strain	area
cluster_398	Bulgaria	Italy	0.20000000000004547	0.12000000000011823	2021.79	2021.87	hen/Bulgaria/854-1_22VIR778-10/2021	gE
cluster_399	Germany	Russian_Federation	0.13999999999987267	0	2021.66	2021.8	Eurasian_teal/Germany-BY/AI05977/2021	gE
cluster_400	Poland	Germany	0.5	0.3200000000001637	2021.67	2021.85	domestic_duck/Poland/H1942-N/2021	gE
cluster_401	Belgium	Poland	0	0	2021.98	2021.98	Buteo_buteo/belgium/334_0013/2021	gE
cluster_402	Germany	Poland	0.08999999999991815	0	2021.71	2021.8	barnacle_goose/Germany-SH/AI06005/2021	gE
cluster_403	Romania	Germany	0.5	0.14000000000010004	2021.73	2022.09	swan/Romania/10394_22VIR2749-3/2022	gE
cluster_404	Russian_Federation	Romania	0.7400000000000091	0.7400000000000091	2021.78	2021.78	chicken/Kursk/132-1V/2021	gNA
cluster_405	Czech_Republic	Russian_Federation	0.33999999999991815	0.1799999999998363	2021.74	2021.9	chicken/Czech_Republic/23404/2021	gE
cluster_406	Denmark	Russian_Federation	0.11999999999989086	0.01999999999998181	2021.72	2021.82	barnacle_goose/Denmark/24273-1.02/2021-10-26	gE
cluster_407	United_Kingdom	Denmark	0.13999999999987267	0.049999999999954525	2021.97	2022.06	domestic_duck/England/007588/2022	gE
cluster_408	Sweden	United_Kingdom	0.30999999999994543	0.08999999999991815	2022.18	2022.4	Northern_gannet/Sweden/SVA220525SZ0402/FB001671/O-2022	gE
cluster_409	Germany	Denmark	0.30999999999994543	0.30999999999994543	2021.8	2021.8	white-tailed_eagle/Germany-MV/AI05975/2021	gE
cluster_410	Netherlands	Germany	0.1799999999998363	0	2021.9	2022.08	Sanderling/Netherlands/1/2022	gE
cluster_411	Ireland	Denmark	0.35999999999989996	0.2799999999999727	2021.76	2021.84	white-tailed_eagle/Ireland/032034_22VIR1325-23/2021	gE
cluster_412	Slovenia	Russian_Federation	0.049999999999954525	0.009999999999990905	2021.95	2021.99	swan/Slovenia/2049_22VIR777-3/2021	gE
cluster_413	Italy	Russian_Federation	0.4800000000000182	0.3300000000001546	2021.66	2021.81	turkey/Italy/21VIR8816-1/2021	gE
cluster_414	Czech_Republic	Italy	0.2799999999999727	0.14999999999986358	2021.75	2021.88	goose/Czech_Republic/22608-3T/2021	gE
cluster_415	Italy	Czech_Republic	0.14000000000010004	0.08000000000015461	2022.06	2022.12	laying_hen/Italy/22VIR1521-2/2022	gE
cluster_416	Italy	Czech_Republic	0.290000000000191	0.01999999999998181	2021.86	2022.13	chicken/Italy/22VIR1694-5/2022	gE
cluster_417	Luxembourg	Italy	0.16999999999984539	0.14999999999986358	2021.88	2021.9	Canada_goose/Luxembourg/21239614/2021	gE
cluster_418	Poland	Italy	0.009999999999990905	0.009999999999990905	2021.83	2021.83	turkey/Poland/H1910-T3/2021	gE
cluster_419	Belgium	Russian_Federation	0.009999999999990905	0.009999999999990905	2022.06	2022.06	Anser_anser_domesticus/Belgium/1668_0016/2022	gE
cluster_420	Israel	Russian_Federation	0.13999999999987267	0.07999999999992724	2021.89	2021.95	Great_white_pelican/Israel/123/2022	gWA
cluster_421	Netherlands	Russian_Federation	0.18000000000006366	0.09000000000014552	2021.73	2021.82	Mallard/Netherlands/8/2021	gE
cluster_422	Spain	Netherlands	0.09000000000014552	0.09000000000014552	2022.08	2022.08	chicken/Spain/340-37_22VIR6312-37/2022	gE
cluster_423	Belgium	Netherlands	0.049999999999954525	0	2021.88	2021.93	Gallus_gallus/Belgium/15977/2021	gE
cluster_424	Romania	Russian_Federation	0.5299999999999727	0.30999999999994543	2021.68	2021.9	mute_swan/Romania/16790_21VIR11355/2021	gE
cluster_425	Italy	Romania	0.209999999999809	0	2021.88	2022.09	herring_gull/Italy/22VIR1710-3/2022	gE
cluster_426	Greece	Romania	0.10000000000013642	0.049999999999954525	2022.1	2022.15	pelican/Greece/64_SP_22VIR3126-7/2022	gE
cluster_427	Poland	Romania	0.009999999999990905	0.009999999999990905	2022.1	2022.1	duck/Poland/H126_22VIR2515-4/2022	gE
cluster_428	Belgium	Romania	0.8199999999999363	0.5299999999999727	2021.77	2022.06	Vulpes_vulpes/Belgium/8660_0016/2022	gE
cluster_429	Spain	Belgium	0.7400000000000091	0.5700000000001637	2021.92	2022.09	Anser_anser/Spain/750-3/2022	gE
cluster_430	Belgium	Spain	0.049999999999954525	0.01999999999998181	2022.23	2022.26	Branta_canadensis/Belgium/4821_0001/2022	gE
cluster_431	Netherlands	Belgium	0.30999999999994543	0.08999999999991815	2022.26	2022.48	Common_Tern/Netherlands/21/2022	gE
cluster_432	Netherlands	Belgium	0.14000000000010004	0	2022.36	2022.5	Eurasian_Curlew/Netherlands/2/2022	gE
cluster_433	France	Netherlands	0.15000000000009095	0.15000000000009095	2022.36	2022.36	gull/France/22P015977/2022	gE
cluster_434	Netherlands	Belgium	0.6000000000001364	0.6000000000001364	2022.11	2022.11	Mallard/Netherlands/11/2022	gE
cluster_435	Netherlands	Belgium	0.8700000000001182	0.7799999999999727	2021.87	2021.96	Herring_Gull/Netherlands/1/2021	gE
cluster_436	Spain	Netherlands	0.44000000000005457	0.44000000000005457	2022	2022	stork/Spain/538-2_22VIR2142-14/2022	gE
